ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
ErtlWM,40.04521,-105.15311,,1555,1.00,772.49,,10873.00,Wetland,Temporary,Natural,2010,N/A,
CO-FRLO,39.92752,-105.15359,,1689,4.00,398.00,,7200.00,Lake,Permanent,Artificial,2011,N/A,
CO-FRLO,39.92752,-105.15359,,1689,1.00,400.00,,7200.00,Lake,Permanent,Artificial,2011,N/A,
12231,40.03379,-105.15383,,1566,,,,,Pond,Permanent,Artificial,2009,N/A,
12231,40.03379,-105.15383,,1566,2.00,,,,Pond,Permanent,Artificial,2009,N/A,
12231,40.03379,-105.15383,,1566,3.00,241.40,,2924.70,Pond,Permanent,Artificial,2010,N/A,
Jump,40.03138,-105.15445,,1571,3.50,708.11,,20935.00,Lake,Permanent,Artificial,2010,N/A,
50,40.047519,-105.15451,,1553,,,,,Lake,Permanent,Natural,2008,N/A,
50,40.047519,-105.15451,,1553,,,,,Lake,Permanent,Natural,2009,N/A,
Ertl4,40.04527,-105.15462,,1553,1.00,563.27,,5919.40,Pond,Permanent,Natural,2010,N/A,
Ertl4,40.04527,-105.15462,,1553,1.50,611.55,,6175.70,Pond,Permanent,Natural,2010,N/A,
Ertl2,40.04646,-105.15538,,1558,3.00,2301.36,,89919.00,Lake,Permanent,Natural,2010,N/A,
Lily,39.94501,-105.15585,,1694,3.00,370.15,,6736.80,Pond,Permanent,Artificial,2010,N/A,
Lily,39.94501,-105.15585,,1694,1.80,402.00,,6887.00,Pond,Permanent,Artificial,2011,N/A,
Lily,39.94501,-105.15585,,1694,2.00,,,,Pond,Permanent,Artificial,2011,N/A,
Ertl3,40.04473,-105.15701,,1559,2.50,949.51,,22745.00,Pond,Permanent,Natural,2010,N/A,
Donut,39.94072,-105.15761,,1693,2.00,659.83,,2561.20,Pond,Permanent,Artificial,2010,N/A,
Donut,39.94072,-105.15761,,1693,1.50,198.00,,1459.00,Pond,Permanent,Artificial,2011,N/A,
Donut,39.94072,-105.15761,,1693,1.00,155.00,,1717.00,Pond,Permanent,Artificial,2011,N/A,
Stuck,39.66236,-105.15813,,1743,2.50,225.31,,2559.40,Pond,Permanent,Artificial,2010,N/A,
Pickup,39.94191,-105.15887,,1698,1.50,289.68,,3330.10,Pond,Permanent,Artificial,2010,N/A,
Pickup,39.94191,-105.15887,,1698,1.20,233.00,,2881.00,Pond,Permanent,Artificial,2011,N/A,
Pickup,39.94191,-105.15887,,1698,1.10,230.00,,3214.30,Pond,Permanent,Artificial,2011,N/A,
Step,39.94371,-105.15958,,1705,3.00,386.24,,4311.10,Pond,Permanent,Artificial,2010,N/A,
Step,39.94371,-105.15958,,1705,1.80,518.00,,6910.00,Pond,Permanent,Artificial,2011,N/A,
Step,39.94371,-105.15958,,1705,1.30,353.00,,4122.70,Pond,Permanent,Artificial,2011,N/A,
CO-BEEF,40.046472,-105.159627,,1563,,,,25294.00,Lake,Permanent,Artificial,2008,N/A,
10559,39.94576,-105.16245,,1719,,,,3940.00,Pond,Permanent,Artificial,2007,N/A,
10559,39.94576,-105.16245,,1719,,,,,Pond,Permanent,Artificial,2007,N/A,
10559,39.94576,-105.16245,,1719,1.50,337.96,,3850.60,Pond,Permanent,Artificial,2010,N/A,
10559,39.94576,-105.16245,,1719,2.00,321.87,,3567.10,Pond,Permanent,Artificial,2010,N/A,
10559,39.94576,-105.16245,,1719,2.00,305.78,,3965.50,Pond,Permanent,Artificial,2010,N/A,
10559,39.94576,-105.16245,,1719,5.00,,,,Pond,Permanent,Artificial,2011,N/A,
10559,39.94576,-105.16245,,1719,1.00,,,,Pond,Permanent,Artificial,2011,N/A,
12653,39.94825,-105.162984,,1695,,,,6280.00,Pond,Permanent,Artificial,2007,N/A,
12653,39.94825,-105.162984,,1695,2.50,354.06,,6682.90,Pond,Permanent,Artificial,2010,N/A,
12653,39.94825,-105.162984,,1695,2.50,354.06,,7051.30,Pond,Permanent,Artificial,2010,N/A,
12653,39.94825,-105.162984,,1695,2.00,321.87,,6420.10,Pond,Permanent,Artificial,2010,N/A,
12653,39.94825,-105.162984,,1695,,338.00,,6214.00,Pond,Permanent,Artificial,2011,N/A,
12653,39.94825,-105.162984,,1695,1.10,,,6476.00,Pond,Permanent,Artificial,2011,N/A,
11722,40.102018,-105.163002,,1543,,,,,Pond,Permanent,Artificial,2007,N/A,
11722,40.102018,-105.163002,,1543,1.00,,,1306.00,Pond,Permanent,Artificial,2009,N/A,
10725,39.92072,-105.16513,,1719,,,,2772.00,Pond,Semi-permanent,Artificial,2007,N/A,
10725,39.92072,-105.16513,,1719,,,,2781.00,Pond,Semi-permanent,Artificial,2009,N/A,
10725,39.92072,-105.16513,,1719,2.00,273.59,,3102.60,Pond,Semi-permanent,Artificial,2010,N/A,
10725,39.92072,-105.16513,,1719,2.00,241.40,,2950.40,Pond,Semi-permanent,Artificial,2010,N/A,
10725,39.92072,-105.16513,,1719,2.00,241.40,,2763.50,Pond,Semi-permanent,Artificial,2010,N/A,
10725,39.92072,-105.16513,,1719,6.00,,,2510.00,Pond,Semi-permanent,Artificial,2011,N/A,
10725,39.92072,-105.16513,,1719,1.00,232.00,,2647.00,Pond,Semi-permanent,Artificial,2011,N/A,
CO-TROUG,39.923406,-105.168011,,1618,6.00,,,318.00,Pond,Temporary,Artificial,2011,N/A,
CO-TROUG,39.923406,-105.168011,,1618,1.50,52.00,,198.00,Pond,Temporary,Artificial,2011,N/A,
CO-RFD2,39.871302,-105.169377,,,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-METAL,39.95887,-105.17063,,1691,0.50,243.00,,1956.00,Ditch,Temporary,Artificial,2011,N/A,
CO-METAL,39.95887,-105.17063,,1691,0.70,221.00,,1026.00,Ditch,Temporary,Artificial,2011,N/A,
CO-SICK,40.40118,-105.17213,,1568,,,,,Pond,Temporary,Artificial,2009,N/A,
CO-11016,0.205072,-105.172723,,1580,2.00,,,,Pond,Permanent,Artificial,2007,N/A,Lat is wrong but I don’t have any way to fix it. It is what is stored in data base. 
CO-11016,0.205072,-105.172723,,1580,,,,2743.00,Pond,Permanent,Artificial,2008,N/A,
CO-11016,0.205072,-105.172723,,1580,,,,,Pond,Permanent,Artificial,2008,N/A,
